detector type,Keypoint detection time(ms),total keypoints,descriptor type,descriptor time taken(ms),matcher type,selector type,Matcher time taken(ms),No of matched points,TTC Lidar,matched points in currBB,TTC Camera,

HARRIS,25.6886,299,FREAK,48.7806,NA,NA,NA,NA,NA,NA,NA
HARRIS,34.4436,820,FREAK,51.0438,MAT_BF,SEL_KNN,14.2031,37,12.5156,4,nan,
HARRIS,26.8961,319,FREAK,49.5354,MAT_BF,SEL_KNN,16.8511,153,12.6142,8,nan,
HARRIS,30.0347,583,FREAK,50.6565,MAT_BF,SEL_KNN,10.5554,54,14.091,8,10.7715,
HARRIS,39.6268,940,FREAK,51.5104,MAT_BF,SEL_KNN,33.6096,71,16.6894,5,nan,
HARRIS,38.7222,913,FREAK,52.9856,MAT_BF,SEL_KNN,46.907,154,15.7466,12,11.1356,
HARRIS,42.1232,1008,FREAK,54.321,MAT_BF,SEL_KNN,49.7776,130,12.7834,10,nan,
HARRIS,45.2057,1149,FREAK,54.3427,MAT_BF,SEL_KNN,63.7204,143,11.9844,21,11.1055,
HARRIS,32.3372,677,FREAK,51.3309,MAT_BF,SEL_KNN,44.0889,149,13.1241,19,10.2239,
HARRIS,25.7716,364,FREAK,48.3645,MAT_BF,SEL_KNN,15.1326,111,13.0241,8,nan,
HARRIS,41.922,1028,FREAK,52.5342,MAT_BF,SEL_KNN,22.0246,57,11.1746,10,nan,
HARRIS,27.9721,466,FREAK,50.188,MAT_BF,SEL_KNN,28.3367,183,12.8086,21,10.3736,
HARRIS,29.8321,581,FREAK,51.3635,MAT_BF,SEL_KNN,15.624,101,8.95978,4,nan,
HARRIS,31.8621,634,FREAK,50.4842,MAT_BF,SEL_KNN,20.4807,133,9.96439,19,11.426,
HARRIS,27.2593,443,FREAK,49.2264,MAT_BF,SEL_KNN,17.5483,104,9.59863,11,nan,
HARRIS,44.7858,1082,FREAK,53.3478,MAT_BF,SEL_KNN,29.3194,80,8.52157,10,nan,
HARRIS,36.6092,817,FREAK,53.2659,MAT_BF,SEL_KNN,51.11,185,9.51556,16,11.7931,
HARRIS,26.3861,340,FREAK,49.4683,MAT_BF,SEL_KNN,16.8183,127,9.61238,10,nan,
HARRIS,25.6068,433,FREAK,49.5067,MAT_BF,SEL_KNN,8.0354,62,8.3988,10,12.5217,
HARRIS,24.9862,299,BRIEF,2.10689,
HARRIS,34.4393,820,BRIEF,3.22906,MAT_BF,SEL_KNN,7.07865,54,12.5156,5,nan,
HARRIS,25.8113,319,BRIEF,1.77719,MAT_BF,SEL_KNN,7.7997,229,12.6142,11,34.1514,
HARRIS,29.9719,583,BRIEF,2.63207,MAT_BF,SEL_KNN,5.41482,86,14.091,12,-151.386,
HARRIS,39.4562,940,BRIEF,3.49259,MAT_BF,SEL_KNN,17.6128,114,16.6894,10,nan,
HARRIS,38.4411,913,BRIEF,3.58393,MAT_BF,SEL_KNN,24.6449,187,15.7466,15,16.6076,
HARRIS,41.1965,1008,BRIEF,3.9493,MAT_BF,SEL_KNN,26.6653,189,12.7834,29,17.7482,
HARRIS,47.7232,1149,BRIEF,6.80941,MAT_BF,SEL_KNN,33.8327,207,11.9844,32,12.3971,
HARRIS,32.045,677,BRIEF,2.87198,MAT_BF,SEL_KNN,24.3501,276,13.1241,34,12.3725,
HARRIS,25.5464,364,BRIEF,1.91556,MAT_BF,SEL_KNN,7.19723,165,13.0241,14,2.47665,
HARRIS,43.1166,1028,BRIEF,4.16003,MAT_BF,SEL_KNN,13.5043,87,11.1746,14,-inf,
HARRIS,27.5823,466,BRIEF,2.30686,MAT_BF,SEL_KNN,13.7619,218,12.8086,13,11.8135,
HARRIS,29.9574,581,BRIEF,2.51466,MAT_BF,SEL_KNN,7.82632,115,8.95978,6,11.414,
HARRIS,31.2522,634,BRIEF,2.74942,MAT_BF,SEL_KNN,10.6703,168,9.96439,31,13.301,
HARRIS,27.7897,443,BRIEF,2.22104,MAT_BF,SEL_KNN,8.39751,183,9.59863,26,nan,
HARRIS,44.9538,1082,BRIEF,4.3454,MAT_BF,SEL_KNN,16.3281,102,8.52157,24,nan,
HARRIS,36.0127,817,BRIEF,3.34218,MAT_BF,SEL_KNN,27.096,226,9.51556,22,10.0437,
HARRIS,25.7642,340,BRIEF,2.09805,MAT_BF,SEL_KNN,7.99393,208,9.61238,8,nan,
HARRIS,26.699,433,BRIEF,1.90173,MAT_BF,SEL_KNN,4.20828,91,8.3988,15,249.395,
HARRIS,25.3985,299,ORB,3.81188,
HARRIS,35.9969,820,ORB,2.43509,MAT_BF,SEL_KNN,6.94693,55,12.5156,4,nan,
HARRIS,24.7819,319,ORB,2.52512,MAT_BF,SEL_KNN,7.6571,220,12.6142,10,19.5571,
HARRIS,29.6623,583,ORB,2.05438,MAT_BF,SEL_KNN,5.05648,87,14.091,10,nan,
HARRIS,39.5266,940,ORB,2.60374,MAT_BF,SEL_KNN,17.4226,101,16.6894,11,39.1628,
HARRIS,38.953,913,ORB,2.53379,MAT_BF,SEL_KNN,26.2105,189,15.7466,18,11.0081,
HARRIS,41.4702,1008,ORB,2.84668,MAT_BF,SEL_KNN,27.358,172,12.7834,18,10.3217,
HARRIS,46.9428,1149,ORB,3.38717,MAT_BF,SEL_KNN,34.981,201,11.9844,26,11.1,
HARRIS,32.1762,677,ORB,2.17618,MAT_BF,SEL_KNN,29.6888,209,13.1241,29,14.7502,
HARRIS,26.2973,364,ORB,1.69728,MAT_BF,SEL_KNN,7.05741,172,13.0241,20,nan,
HARRIS,41.7054,1028,ORB,2.69497,MAT_BF,SEL_KNN,12.7627,58,11.1746,5,nan,
HARRIS,27.9496,466,ORB,1.8661,MAT_BF,SEL_KNN,13.8672,218,12.8086,13,nan,
HARRIS,31.2452,581,ORB,2.11778,MAT_BF,SEL_KNN,7.75858,112,8.95978,9,5.65702,
HARRIS,31.3961,634,ORB,2.06353,MAT_BF,SEL_KNN,10.6024,180,9.96439,26,11.636,
HARRIS,28.0056,443,ORB,1.87837,MAT_BF,SEL_KNN,8.52089,164,9.59863,19,5.25004,
HARRIS,45.3178,1082,ORB,2.82948,MAT_BF,SEL_KNN,16.1471,90,8.52157,19,21.8779,
HARRIS,34.7601,817,ORB,2.45624,MAT_BF,SEL_KNN,25.7445,203,9.51556,10,2.52694,
HARRIS,26.7989,340,ORB,1.69161,MAT_BF,SEL_KNN,8.09321,226,9.61238,19,nan,
HARRIS,26.6401,433,ORB,1.88034,MAT_BF,SEL_KNN,4.26734,99,8.3988,13,23.2992,
HARRIS,26.3419,299,SIFT,31.15,
HARRIS,36.8112,820,SIFT,63.4395,MAT_BF,SEL_KNN,8.44261,43,12.5156,8,nan,
HARRIS,26.1165,319,SIFT,31.7874,MAT_BF,SEL_KNN,8.89658,276,12.6142,17,40.5324,
HARRIS,29.2395,583,SIFT,45.57,MAT_BF,SEL_KNN,8.96285,66,14.091,8,-62.3075,
HARRIS,41.1309,940,SIFT,63.5488,MAT_BF,SEL_KNN,19.5745,116,16.6894,6,-12.3064,
HARRIS,39.122,913,SIFT,65.2007,MAT_BF,SEL_KNN,30.373,202,15.7466,20,21.9148,
HARRIS,43.6706,1008,SIFT,66.3448,MAT_BF,SEL_KNN,32.1628,225,12.7834,22,13.5433,
HARRIS,46.8909,1149,SIFT,73.2875,MAT_BF,SEL_KNN,42.3949,213,11.9844,22,10.9806,
HARRIS,31.8975,677,SIFT,49.8606,MAT_BF,SEL_KNN,25.551,320,13.1241,26,15.3465,
HARRIS,26.9806,364,SIFT,33.697,MAT_BF,SEL_KNN,8.35756,169,13.0241,12,nan,
HARRIS,43.9356,1028,SIFT,67.8188,MAT_BF,SEL_KNN,13.7599,74,11.1746,4,nan,
HARRIS,28.7357,466,SIFT,39.1968,MAT_BF,SEL_KNN,17.8351,298,12.8086,25,nan,
HARRIS,30.5396,581,SIFT,45.718,MAT_BF,SEL_KNN,10.8732,150,8.95978,5,11.414,
HARRIS,31.068,634,SIFT,48.5377,MAT_BF,SEL_KNN,14.2005,188,9.96439,27,13.301,
HARRIS,28.0126,443,SIFT,37.3342,MAT_BF,SEL_KNN,9.1071,215,9.59863,25,-6.00781,
HARRIS,45.5359,1082,SIFT,71.5556,MAT_BF,SEL_KNN,17.6917,97,8.52157,15,nan,
HARRIS,36.6806,817,SIFT,58.3777,MAT_BF,SEL_KNN,31.9676,270,9.51556,13,11.0998,
HARRIS,25.9559,340,SIFT,33.0671,MAT_BF,SEL_KNN,9.33396,258,9.61238,14,nan,
HARRIS,27.6943,433,SIFT,37.2761,MAT_BF,SEL_KNN,5.06746,110,8.3988,17,nan,
HARRIS,26.2779,299,BRISK,4.14793,
HARRIS,35.8533,820,BRISK,9.2804,MAT_BF,SEL_KNN,15.0848,38,12.5156,2,nan,
HARRIS,26.2783,319,BRISK,4.0696,MAT_BF,SEL_KNN,16.3227,166,12.6142,13,19.5571,
HARRIS,31.1664,583,BRISK,6.77557,MAT_BF,SEL_KNN,12.0911,74,14.091,9,10.7715,
HARRIS,39.9829,940,BRISK,10.2822,MAT_BF,SEL_KNN,34.4754,88,16.6894,10,nan,
HARRIS,39.6759,913,BRISK,9.95005,MAT_BF,SEL_KNN,51.7591,161,15.7466,17,13.4193,
HARRIS,41.9208,1008,BRISK,10.173,MAT_BF,SEL_KNN,52.0257,147,12.7834,16,14.1237,
HARRIS,47.0579,1149,BRISK,11.825,MAT_BF,SEL_KNN,65.7252,156,11.9844,16,10.965,
HARRIS,31.6585,677,BRISK,7.59173,MAT_BF,SEL_KNN,46.0897,194,13.1241,22,12.3725,
HARRIS,26.411,364,BRISK,4.2174,MAT_BF,SEL_KNN,14.5366,142,13.0241,13,nan,
HARRIS,42.6601,1028,BRISK,11.1816,MAT_BF,SEL_KNN,22.6843,69,11.1746,3,nan,
HARRIS,28.5489,466,BRISK,5.65993,MAT_BF,SEL_KNN,33.6356,211,12.8086,17,12.4205,
HARRIS,31.0885,581,BRISK,6.79533,MAT_BF,SEL_KNN,16.2485,119,8.95978,8,nan,
HARRIS,30.836,634,BRISK,7.32264,MAT_BF,SEL_KNN,21.8761,147,9.96439,20,11.768,
HARRIS,26.6882,443,BRISK,5.54348,MAT_BF,SEL_KNN,17.764,128,9.59863,16,nan,
HARRIS,45.2246,1082,BRISK,11.5181,MAT_BF,SEL_KNN,33.459,78,8.52157,12,10.6327,
HARRIS,36.1166,817,BRISK,8.63565,MAT_BF,SEL_KNN,52.4124,213,9.51556,18,8.36478,
HARRIS,25.5479,340,BRISK,4.1404,MAT_BF,SEL_KNN,16.6186,175,9.61238,13,nan,
HARRIS,25.7951,433,BRISK,5.11991,MAT_BF,SEL_KNN,8.13939,86,8.3988,13,12.2131,
SIFT,114.45,1890,FREAK,58.2693,
SIFT,121.084,1915,FREAK,62.836,MAT_BF,SEL_KNN,170.61,430,12.5156,46,11.1369,
SIFT,116.057,1824,FREAK,59.3172,MAT_BF,SEL_KNN,159.336,428,12.6142,45,12.9029,
SIFT,124.246,1837,FREAK,61.2787,MAT_BF,SEL_KNN,159.787,437,14.091,54,14.2109,
SIFT,115.12,1828,FREAK,58.7274,MAT_BF,SEL_KNN,156.002,446,16.6894,53,18.4778,
SIFT,114.903,1875,FREAK,59.4417,MAT_BF,SEL_KNN,159.125,454,15.7466,42,15.734,
SIFT,115.55,1931,FREAK,59.8887,MAT_BF,SEL_KNN,171.067,439,12.7834,50,11.7208,
SIFT,118.87,1963,FREAK,59.7448,MAT_BF,SEL_KNN,169.241,440,11.9844,53,15.4365,
SIFT,117.921,1954,FREAK,60.5767,MAT_BF,SEL_KNN,176.737,468,13.1241,54,15.5756,
SIFT,120.177,1983,FREAK,62.7485,MAT_BF,SEL_KNN,179.576,467,13.0241,52,13.2745,
SIFT,118.371,2043,FREAK,60.8273,MAT_BF,SEL_KNN,183.268,448,11.1746,53,11.3657,
SIFT,120.759,2065,FREAK,61.883,MAT_BF,SEL_KNN,193.701,447,12.8086,35,14.3756,
SIFT,119.646,2007,FREAK,60.2176,MAT_BF,SEL_KNN,197.995,471,8.95978,43,10.6798,
SIFT,116.076,2030,FREAK,59.8817,MAT_BF,SEL_KNN,185.727,456,9.96439,38,9.2886,
SIFT,116.945,2048,FREAK,59.5467,MAT_BF,SEL_KNN,192.296,464,9.59863,38,10.8718,
SIFT,119.489,2044,FREAK,61.454,MAT_BF,SEL_KNN,192.353,483,8.52157,46,9.43476,
SIFT,121.114,2086,FREAK,63.8347,MAT_BF,SEL_KNN,202.477,493,9.51556,51,8.53375,
SIFT,120.797,2093,FREAK,63.5095,MAT_BF,SEL_KNN,201.043,530,9.61238,41,9.36457,
SIFT,122.407,2159,FREAK,62.0347,MAT_BF,SEL_KNN,210.821,516,8.3988,42,9.54427,
SIFT,120.768,1890,BRIEF,7.30727,
