detector type,Keypoint detection time(ms),total keypoints,descriptor type,descriptor time taken(ms),matcher type,selector type,Matcher time taken(ms),No of matched points,TTC Lidar,matched points in currBB,TTC Camera,

HARRIS,35.8154,299,FREAK,46.9882,
HARRIS,37.6737,820,FREAK,49.4946,MAT_BF,SEL_KNN,17.3068,37,12.5156,4,nan,
HARRIS,27.1193,319,FREAK,43.8739,MAT_BF,SEL_KNN,16.0621,153,12.6142,8,nan,
HARRIS,32.6419,583,FREAK,51.2543,MAT_BF,SEL_KNN,12.325,54,14.091,8,10.7715,
HARRIS,41.4676,940,FREAK,50.2334,MAT_BF,SEL_KNN,30.8879,71,16.6894,5,nan,
HARRIS,39.6622,913,FREAK,47.679,MAT_BF,SEL_KNN,46.709,154,15.7466,12,11.1356,
HARRIS,42.3367,1008,FREAK,47.6537,MAT_BF,SEL_KNN,51.9653,130,12.7834,10,nan,
HARRIS,47.6386,1149,FREAK,49.6005,MAT_BF,SEL_KNN,63.1002,143,11.9844,21,11.1055,
HARRIS,33.2032,677,FREAK,46.1503,MAT_BF,SEL_KNN,43.4881,149,13.1241,19,10.2239,
HARRIS,27.7608,364,FREAK,43.9008,MAT_BF,SEL_KNN,15.2275,111,13.0241,8,nan,
HARRIS,48.6633,1028,FREAK,48.4101,MAT_BF,SEL_KNN,21.4849,57,11.1746,10,nan,
HARRIS,28.9296,466,FREAK,44.4048,MAT_BF,SEL_KNN,27.6508,183,12.8086,21,10.3736,
HARRIS,31.2659,581,FREAK,45.154,MAT_BF,SEL_KNN,16.6001,101,8.95978,4,nan,
HARRIS,34.7636,634,FREAK,49.9905,MAT_BF,SEL_KNN,21.3485,133,9.96439,19,11.426,
HARRIS,28.8995,443,FREAK,44.6992,MAT_BF,SEL_KNN,17.6847,104,9.59863,11,nan,
HARRIS,45.4302,1082,FREAK,48.2044,MAT_BF,SEL_KNN,28.2544,80,8.52157,10,nan,
HARRIS,37.0703,817,FREAK,47.1395,MAT_BF,SEL_KNN,50.5672,185,9.51556,17,11.5009,
HARRIS,27.3617,340,FREAK,43.3307,MAT_BF,SEL_KNN,16.4511,127,9.61238,10,nan,
HARRIS,29.6759,433,FREAK,45.2278,MAT_BF,SEL_KNN,8.74146,62,8.3988,10,12.5217,
HARRIS,27.744,299,BRIEF,1.89563,
HARRIS,37.0021,820,BRIEF,3.47106,MAT_BF,SEL_KNN,7.091,54,12.5156,5,nan,
HARRIS,27.5146,319,BRIEF,1.93674,MAT_BF,SEL_KNN,7.86207,229,12.6142,11,34.1514,
HARRIS,31.6199,583,BRIEF,2.79978,MAT_BF,SEL_KNN,5.51387,86,14.091,12,-151.386,
HARRIS,41.0795,940,BRIEF,3.81754,MAT_BF,SEL_KNN,18.9329,114,16.6894,10,nan,
HARRIS,40.5282,913,BRIEF,3.75624,MAT_BF,SEL_KNN,26.0761,187,15.7466,17,43.8295,
HARRIS,42.5208,1008,BRIEF,4.02267,MAT_BF,SEL_KNN,27.5039,189,12.7834,29,17.7482,
HARRIS,47.2415,1149,BRIEF,7.69864,MAT_BF,SEL_KNN,33.2782,207,11.9844,32,12.3971,
HARRIS,32.8929,677,BRIEF,3.01624,MAT_BF,SEL_KNN,24.4693,276,13.1241,34,12.3725,
HARRIS,27.5827,364,BRIEF,2.07361,MAT_BF,SEL_KNN,7.29556,165,13.0241,14,2.47665,
HARRIS,44.5186,1028,BRIEF,4.18584,MAT_BF,SEL_KNN,13.8994,87,11.1746,14,-0.1,
HARRIS,29.4032,466,BRIEF,2.47238,MAT_BF,SEL_KNN,14.1181,218,12.8086,13,11.8135,
HARRIS,30.9078,581,BRIEF,2.69806,MAT_BF,SEL_KNN,7.82377,115,8.95978,6,11.414,
HARRIS,32.2272,634,BRIEF,2.8838,MAT_BF,SEL_KNN,10.9439,168,9.96439,31,13.301,
HARRIS,28.9596,443,BRIEF,2.28176,MAT_BF,SEL_KNN,8.66501,183,9.59863,26,nan,
HARRIS,45.1516,1082,BRIEF,4.39956,MAT_BF,SEL_KNN,16.1271,102,8.52157,24,nan,
HARRIS,36.8135,817,BRIEF,3.4256,MAT_BF,SEL_KNN,28.0942,226,9.51556,22,10.0437,
HARRIS,27.6318,340,BRIEF,2.00991,MAT_BF,SEL_KNN,7.99366,208,9.61238,8,nan,
HARRIS,29.1104,433,BRIEF,2.48085,MAT_BF,SEL_KNN,4.40593,91,8.3988,15,249.395,
HARRIS,35.4594,299,ORB,4.77328,
HARRIS,38.7969,820,ORB,2.56877,MAT_BF,SEL_KNN,7.0514,55,12.5156,4,nan,
HARRIS,28.3895,319,ORB,1.8435,MAT_BF,SEL_KNN,7.86096,220,12.6142,10,19.5571,
HARRIS,31.6128,583,ORB,2.35309,MAT_BF,SEL_KNN,5.36723,87,14.091,10,nan,
HARRIS,41.5309,940,ORB,2.85207,MAT_BF,SEL_KNN,18.2724,101,16.6894,11,39.1628,
HARRIS,39.9638,913,ORB,2.68863,MAT_BF,SEL_KNN,26.291,189,15.7466,18,11.0081,
